"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","24-year High (2000-2023)","24-year Low (2000-2023)","5-year Average (2019-2023)","Date of 24-year High","Date of 24-year Low"
"01/01/2024","61","PM2.5","Durham Armory","37-063-0015","AQS","111","13","32.6","01/01/2000","01/01/2007"
"01/02/2024","49","PM2.5","Durham Armory","37-063-0015","AQS","79","11","37.6","01/02/2005","01/02/2012"
"01/03/2024","59","PM2.5","Durham Armory","37-063-0015","AQS","70","13","36.6","01/03/2004","01/03/2022"
"01/04/2024","55","PM2.5","Durham Armory","37-063-0015","AQS","65","12","24.8","01/04/2009","01/04/2007"
"01/05/2024","58","PM2.5","Durham Armory","37-063-0015","AQS","85","11","32.6","01/05/2001","01/05/2015"
"01/06/2024","54","PM2.5","Durham Armory","37-063-0015","AQS","74","18","31","01/06/2002","01/06/2023"
"01/07/2024","42","PM2.5","Durham Armory","37-063-0015","AQS","78","20","37","01/07/2001","01/07/2022"
"01/08/2024","49","PM2.5","Durham Armory","37-063-0015","AQS","79","19","43","01/08/2001","01/08/2007"
"01/09/2024","36","PM2.5","Durham Armory","37-063-0015","AQS","62","25","34.6","01/09/2017","01/09/2007"
"01/10/2024","44","PM2.5","Durham Armory","37-063-0015","AQS","75","19","39.4","01/10/2005","01/10/2022"
"01/11/2024","58","PM2.5","Durham Armory","37-063-0015","AQS","83","18","44.8","01/11/2005","01/11/2014"
"01/12/2024","58","PM2.5","Durham Armory","37-063-0015","AQS","80","7","44.4","01/12/2005","01/12/2018"
"01/13/2024","44","PM2.5","Durham Armory","37-063-0015","AQS","66","10","33.6","01/13/2009","01/13/2023"
"01/14/2024","53","PM2.5","Durham Armory","37-063-0015","AQS","67","6","33.6","01/14/2010","01/14/2023"
"01/15/2024","52","PM2.5","Durham Armory","37-063-0015","AQS","71","0","39.6","01/15/2001","01/15/2013"
"01/16/2024","54","PM2.5","Durham Armory","37-063-0015","AQS","66","8","38","01/16/2010","01/16/2013"
"01/17/2024","55","PM2.5","Durham Armory","37-063-0015","AQS","69","2","35","01/17/2001","01/17/2013"
"01/18/2024","56","PM2.5","Durham Armory","37-063-0015","AQS","76","21","37","01/18/2001","01/18/2020"
"01/19/2024","60","PM2.5","Durham Armory","37-063-0015","AQS","71","21","45.8","01/19/2000","01/19/2020"
"01/20/2024","55","PM2.5","Durham Armory","37-063-0015","AQS","64","10","37","01/20/2002","01/20/2023"
"01/21/2024","55","PM2.5","Durham Armory","37-063-0015","AQS","70","20","32.6","01/21/2009","01/21/2020"
"01/22/2024","68","PM2.5","Durham Armory","37-063-0015","AQS","68","22","39","01/22/2003","01/22/2010"
"01/23/2024","75","PM2.5","Durham Armory","37-063-0015","AQS","68","16","39.4","01/23/2009","01/23/2023"
"01/24/2024","62","PM2.5","Durham Armory","37-063-0015","AQS","71","10","37.4","01/24/2001","01/24/2015"
"01/25/2024","17","PM2.5","Durham Armory","37-063-0015","AQS","69","21","47.6","01/25/2016","01/25/2010"
