year,expedition_id,member_id,highpoint_metres,sex,success,oxygen_used,peak_id,peak_name,season,age,citizenship,expedition_role,hired,solo,died,death_cause,death_height_metres,injured,injury_type,injury_height_metres
2019,EVER19101,EVER19101-01,8850,Male,Yes,With,EVER,Everest,Spring,37,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-02,8850,Male,Yes,With,EVER,Everest,Spring,30,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-03,8850,Male,Yes,With,EVER,Everest,Spring,33,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-04,8850,Male,Yes,With,EVER,Everest,Spring,21,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-05,8850,Male,Yes,With,EVER,Everest,Spring,36,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-06,8850,Male,Yes,With,EVER,Everest,Spring,26,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-07,8850,Male,Yes,With,EVER,Everest,Spring,42,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19101,EVER19101-08,8850,Male,Yes,With,EVER,Everest,Spring,27,Nepal,H-A Worker,TRUE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-01,8850,Male,Yes,With,EVER,Everest,Spring,35,Nepal,Leader,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-02,8850,Male,Yes,With,EVER,Everest,Spring,40,Syria,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-03,4910,Male,No,Without,EVER,Everest,Spring,60,USA,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-04,8850,Female,Yes,With,EVER,Everest,Spring,42,Greece,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-05,8850,Male,Yes,With,EVER,Everest,Spring,26,India,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-06,8850,Female,Yes,With,EVER,Everest,Spring,27,India,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-07,8850,Female,Yes,With,EVER,Everest,Spring,35,India,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-08,8850,Male,Yes,With,EVER,Everest,Spring,45,UK,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-09,8850,Male,Yes,With,EVER,Everest,Spring,38,Nepal,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-10,8749,Male,No,With,EVER,Everest,Spring,50,Greece,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-11,8850,Male,Yes,With,EVER,Everest,Spring,37,India,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
2019,EVER19102,EVER19102-12,6000,Male,No,Without,EVER,Everest,Spring,41,UK/India,Climber,FALSE,FALSE,No,NA,NA,FALSE,NA,NA
