country,continent,year,life_exp,gdp_percap
Afghanistan,Asia,1950,42.72,1728.97632
Afghanistan,Asia,1955,43.88,2009.69896
Afghanistan,Asia,1960,45.03,2277.64036
Afghanistan,Asia,1965,46.13,2359.7174
Afghanistan,Asia,1970,47.08,2477.91301
Afghanistan,Asia,1975,47.55,2228.08567
Afghanistan,Asia,1980,43.68,2251.28484
Afghanistan,Asia,1985,42.03,3068.05058
Afghanistan,Asia,1990,53.83,2412.90304
Afghanistan,Asia,1995,54.33,1689.0634
Afghanistan,Asia,2000,54.73,1426.50934
Afghanistan,Asia,2005,57.63,1855.22812
Afghanistan,Asia,2010,60.46,2848.58606
Afghanistan,Asia,2015,61.91,2967.69207
Afghanistan,Asia,2020,62.34,2769.68575
Afghanistan,Asia,2025,65.11,2092.54588
Angola,Africa,1950,45.57,2490.89782
Angola,Africa,1955,45.54,2866.63152
Angola,Africa,1960,46.25,3299.10986
Angola,Africa,1965,45.58,4432.34698
Angola,Africa,1970,46.57,5177.92272
Angola,Africa,1975,47.46,4130.95715
Angola,Africa,1980,48.13,3728.6418
Angola,Africa,1985,48.56,4028.06224
Angola,Africa,1990,49.67,4974.52806
Angola,Africa,1995,51.16,4176.13396
Angola,Africa,2000,52.78,5352.49132
Angola,Africa,2005,56.35,7592.30709
Angola,Africa,2010,60.21,9672.83922
Angola,Africa,2015,63.52,9980.92988
Angola,Africa,2020,64.88,7556.96793
Angola,Africa,2025,66.3,7457.17479
Albania,Europe,1950,52.21,2169.30253
Albania,Europe,1955,56.27,2395.99947
Albania,Europe,1960,62.55,2898.16273
Albania,Europe,1965,64.79,3292.5959
Albania,Europe,1970,67.79,3876.52082
Albania,Europe,1975,70.19,4248.82637
Albania,Europe,1980,71.25,4416.59612
Albania,Europe,1985,71.89,5161.52412
Albania,Europe,1990,72.76,5490.45562
Albania,Europe,1995,74.61,5095.58379
Albania,Europe,2000,75.39,6558.42258
Albania,Europe,2005,76.2,8977.57267
Albania,Europe,2010,78.13,11828.37497
Albania,Europe,2015,78.14,13156.33221
Albania,Europe,2020,76.23,14662.79552
Albania,Europe,2025,79.67,20361.79277
Andorra,Europe,1950,74.62,9702.54131
Andorra,Europe,1955,75.21,14615.97003
Andorra,Europe,1960,75.74,22016.56207
Andorra,Europe,1965,76.3,33160.26538
Andorra,Europe,1970,76.97,49938.69251
Andorra,Europe,1975,77.7,52278.05928
Andorra,Europe,1980,78.34,50134.87077
Andorra,Europe,1985,78.71,44393.44628
Andorra,Europe,1990,79.03,46235.61393
Andorra,Europe,1995,79.75,42152.12008
Andorra,Europe,2000,80.76,52814.6954
Andorra,Europe,2005,81.4,64175.8719
Andorra,Europe,2010,81.85,58285.05778
Andorra,Europe,2015,82.01,62105.15424
Andorra,Europe,2020,78.25,55488.4903
Andorra,Europe,2025,83.19,67385.01529
UAE,Asia,1950,58.41,1839.0299
UAE,Asia,1955,58.86,2018.7888
UAE,Asia,1960,60.34,3066.57278
UAE,Asia,1965,62.59,15351.70704
UAE,Asia,1970,64.04,77424.23701
UAE,Asia,1975,65.99,74397.16075
UAE,Asia,1980,67.62,86120.31136
UAE,Asia,1985,68.47,73827.44139
UAE,Asia,1990,68.66,74726.8204
UAE,Asia,1995,68.81,83835.62829
UAE,Asia,2000,69.11,88047.22698
UAE,Asia,2005,69.24,89813.8553
UAE,Asia,2010,70.77,68799.93085
UAE,Asia,2015,73.18,70234.73175
UAE,Asia,2020,73.18,65784.67694
UAE,Asia,2025,74.94,72660.14487
Argentina,South America,1950,63.3,10447.64488
Argentina,South America,1955,64.51,10859.99542
Argentina,South America,1960,65.26,11545.68452
Argentina,South America,1965,66.13,12916.76444
Argentina,South America,1970,66.13,14600.20015
Argentina,South America,1975,68.03,15710.97534
Argentina,South America,1980,70.23,15887.01022
Argentina,South America,1985,71.73,15347.53371
Argentina,South America,1990,72.47,15986.19359
Argentina,South America,1995,73.44,20052.88124
Argentina,South America,2000,74.22,21810.83619
Argentina,South America,2005,75.28,23052.59
Argentina,South America,2010,75.94,28056.25702
Argentina,South America,2015,76.5,28669.20613
Argentina,South America,2020,75.2,23877.09314
Argentina,South America,2025,77.6,28467.05855
Armenia,Asia,1950,48.23,4747.14916
Armenia,Asia,1955,53.28,5571.9747
Armenia,Asia,1960,59.22,6664.54908
Armenia,Asia,1965,63.59,7585.01784
Armenia,Asia,1970,65.86,8805.06468
Armenia,Asia,1975,68.23,8890.36899
Armenia,Asia,1980,70.2,8111.70862
Armenia,Asia,1985,71.27,8680.52873
Armenia,Asia,1990,70.58,7590.79331
Armenia,Asia,1995,70.08,3950.03629
Armenia,Asia,2000,72.38,4860.71825
Armenia,Asia,2005,73.05,8511.01241
Armenia,Asia,2010,73.91,10438.56419
Armenia,Asia,2015,75.11,13112.76009
Armenia,Asia,2020,72.45,15052.93598
Armenia,Asia,2025,76.87,21539.01147
Antigua and Barbuda,North America,1950,58.13,4270.78131
Antigua and Barbuda,North America,1955,60.93,4621.3325
Antigua and Barbuda,North America,1960,63.83,5000.94471
Antigua and Barbuda,North America,1965,66.73,5675.52208
Antigua and Barbuda,North America,1970,68.32,6431.98775
Antigua and Barbuda,North America,1975,70.23,7466.27538
Antigua and Barbuda,North America,1980,72.09,8642.1755
Antigua and Barbuda,North America,1985,73.77,13664.53219
Antigua and Barbuda,North America,1990,74.04,21696.89565
Antigua and Barbuda,North America,1995,73.26,22043.3636
Antigua and Barbuda,North America,2000,74.83,25853.23485
Antigua and Barbuda,North America,2005,75.9,27830.44701
Antigua and Barbuda,North America,2010,75.92,25826.60864
Antigua and Barbuda,North America,2015,75.97,25734.15164
Antigua and Barbuda,North America,2020,76.43,23930.6715
Antigua and Barbuda,North America,2025,77.34,30870.84372
Australia,Oceania,1950,69.4,14958.37583
Australia,Oceania,1955,70.34,15796.24131
Australia,Oceania,1960,71.11,16711.75944
Australia,Oceania,1965,71.1,18628.36629
