STATION,NAME,DATE,TAVG
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/20/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/25/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/26/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/7/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/9/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/11/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/17/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/21/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/25/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/26/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/28/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/31/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/12/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/13/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/17/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/19/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/28/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",9/4/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/7/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/18/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/20/25,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",11/7/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",1/4/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/14/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/23/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/24/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/26/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/13/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/14/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/15/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/16/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/17/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/18/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/21/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/22/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/23/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/24/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/25/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/31/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",6/19/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/4/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/5/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/6/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/7/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/8/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/9/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/11/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/12/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/13/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/15/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",9/24/25,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",10/26/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/1/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/2/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/3/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/4/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/5/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/6/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/7/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/8/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/9/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/10/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/11/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/12/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/13/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/14/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/15/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/16/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/17/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/18/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/19/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/20/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/21/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/22/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/23/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/24/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/25/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/26/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/27/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/28/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/29/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/30/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",1/31/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/1/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/2/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/3/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/4/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/5/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/6/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/7/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/8/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/9/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/10/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/11/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/12/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/13/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/14/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/15/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/16/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/17/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/18/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/19/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/20/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/21/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/22/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/23/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/24/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/25/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/26/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/27/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",2/28/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/1/25,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/2/25,
